Datetime,South East Asia,Indonesia,Malaysia,Philippines,Thailand,Vietnam,North East Asia,Mainland China,Hong Kong,Japan,South Asia,Middle East,Oceania,Europe,France,Germany,United Kingdom,North America,Other Regions
1/1/1986,3740,1379,662,220,1460,0,4110,0,981,1548,640,68,2673,2058,129,212,239,1070,7
2/1/1986,3282,1124,638,279,1210,0,3727,0,826,1650,640,77,2886,2368,107,186,226,1156,23
3/1/1986,4356,1369,861,420,1636,0,5234,0,1172,2045,776,108,3209,2765,146,247,259,1374,52
4/1/1986,3830,1117,826,307,1548,0,4795,0,1120,1885,791,138,2847,2526,124,262,259,1370,31
5/1/1986,3820,1054,891,240,1585,0,4794,0,1112,1880,633,129,2698,2322,109,215,263,1363,18
6/1/1986,3323,835,785,269,1387,0,4602,0,1167,1730,754,175,2469,2386,143,270,225,1141,70
7/1/1986,3802,1174,844,249,1482,0,4775,0,1329,1729,799,171,2329,2620,230,299,230,1161,14
8/1/1986,3777,1148,903,272,1426,0,4659,0,1226,1678,841,111,2300,2435,215,270,259,1213,16
9/1/1986,3986,1478,817,249,1410,0,4971,0,1323,1781,824,112,2473,2466,175,243,247,1204,14
10/1/1986,4611,1771,1011,287,1482,0,5079,0,1269,1935,872,192,2333,2645,236,256,251,1031,34
11/1/1986,4517,1721,916,254,1544,0,5455,0,1312,2045,818,178,2238,2723,282,254,318,1063,44
12/1/1986,4842,2236,850,203,1496,0,5402,0,1156,2301,771,170,2948,3008,226,215,282,1093,55
1/1/1987,5023,2105,828,234,1817,0,4384,0,1144,1543,989,95,2563,2099,180,167,228,946,34
2/1/1987,4280,1816,781,282,1366,0,4205,0,957,1812,1175,146,3095,2493,283,233,331,934,64
3/1/1987,5193,1891,1092,361,1805,0,5537,0,1304,2266,1198,147,3820,2844,240,237,326,1273,51
4/1/1987,5250,1819,1091,380,1901,0,5056,0,1239,1978,1206,140,2609,2649,259,201,326,1066,45
5/1/1987,5307,1771,1002,404,2058,0,5392,0,1191,2208,1193,117,2304,2998,286,251,430,1134,46
6/1/1987,4593,1525,971,432,1610,0,5338,0,1118,2248,1044,117,2115,2587,246,253,370,1324,30
7/1/1987,5524,2165,1137,441,1721,0,5606,0,1231,2297,1086,117,2084,2872,250,258,345,1330,31
